,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
74089,200205040007,2002,5,4,"May 4-5, 2007",0,,217,United States,1,North America,Nebraska,Columbus,41.432778,-97.358611,1.0,0,,"05/04/2002: Between the dates of May 3-7, 2002, eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A., collectively causing seven injuries and leading to widespread panic in the region. Most of the explosives came with typewritten notes that bemoaned the power of the government and threatened more attacks. In the incidents that occurred on May 4-5, 2002, seven bombs were found in mailboxes in the southern and central counties of Nebraska. None of these bombs detonated and no injuries were suffered. On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1,2.0,Other Crime Type,1,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217.0,United States,2.0,Government (General),,,U.S. Postal Service,US Mail Boxes,217.0,United States,,,,,,,,,Anti-Government extremists,,,,,,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,0.0,,,1,1.0,1.0,1.0,8.0,Personal claim,,,,,,,-9.0,6,Explosives,10.0,Pressure Trigger,,,,,,,,,,,,,"The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. Unlike the first set, this bomb was not rigged to the mailbox and did not detonate.",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"“Crime: Pipe Bombs Strike Mailboxes in Midwest,” Facts on File World News Digest, May 15, 2002.","“Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.” New York Times¸ May 8, 2002.","“More pipe bombs found in mailboxes throughout Midwest,” ABC News, May 6, 2002.",CETIS,-9,-9,0,-9,"200205030007, 200205030008, 200205030009, 200205030010, 200205030011, 200205030012, 200205030013, 200205030014, 200205040005, 200205040006, 200205040007, 200205040008, 200205040009, 200205040010, 200205040011, 200205060005, 200205060006, 200205070002"
74090,200205040008,2002,5,4,"May 4-5, 2007",0,,217,United States,1,North America,Nebraska,Davenport,40.312784,-97.811986,1.0,0,,"05/04/2002: Between the dates of May 3-7, 2002, eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A., collectively causing seven injuries and leading to widespread panic in the region. Most of the explosives came with typewritten notes that bemoaned the power of the government and threatened more attacks. In the incidents that occurred on May 4-5, 2002, seven bombs were found in mailboxes in the southern and central counties of Nebraska. None of these bombs detonated and no injuries were suffered. On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1,2.0,Other Crime Type,1,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217.0,United States,2.0,Government (General),,,U.S. Postal Service,US Mail Boxes,217.0,United States,,,,,,,,,Anti-Government extremists,,,,,,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,0.0,,,1,1.0,1.0,1.0,8.0,Personal claim,,,,,,,-9.0,6,Explosives,10.0,Pressure Trigger,,,,,,,,,,,,,"The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. Unlike the first set, this bomb was not rigged to the mailbox and did not detonate.",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"“Crime: Pipe Bombs Strike Mailboxes in Midwest,” Facts on File World News Digest, May 15, 2002.","“Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.” New York Times¸ May 8, 2002.","“More pipe bombs found in mailboxes throughout Midwest,” ABC News, May 6, 2002.",CETIS,-9,-9,0,-9,"200205030007, 200205030008, 200205030009, 200205030010, 200205030011, 200205030012, 200205030013, 200205030014, 200205040005, 200205040006, 200205040007, 200205040008, 200205040009, 200205040010, 200205040011, 200205060005, 200205060006, 200205070002"
74091,200205040009,2002,5,4,"May 4-5, 2007",0,,217,United States,1,North America,Nebraska,Ohiowa,40.414167,-97.452222,1.0,0,,"05/04/2002: Between the dates of May 3-7, 2002, eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A., collectively causing seven injuries and leading to widespread panic in the region. Most of the explosives came with typewritten notes that bemoaned the power of the government and threatened more attacks. In the incidents that occurred on May 4-5, 2002, seven bombs were found in mailboxes in the southern and central counties of Nebraska. None of these bombs detonated and no injuries were suffered. On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1,2.0,Other Crime Type,1,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217.0,United States,2.0,Government (General),,,U.S. Postal Service,US Mail Boxes,217.0,United States,,,,,,,,,Anti-Government extremists,,,,,,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,0.0,,,1,1.0,1.0,1.0,8.0,Personal claim,,,,,,,-9.0,6,Explosives,10.0,Pressure Trigger,,,,,,,,,,,,,"The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. Unlike the first set, this bomb was not rigged to the mailbox and did not detonate.",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"“Crime: Pipe Bombs Strike Mailboxes in Midwest,” Facts on File World News Digest, May 15, 2002.","“Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.” New York Times¸ May 8, 2002.","“More pipe bombs found in mailboxes throughout Midwest,” ABC News, May 6, 2002.",CETIS,-9,-9,0,-9,"200205030007, 200205030008, 200205030009, 200205030010, 200205030011, 200205030012, 200205030013, 200205030014, 200205040005, 200205040006, 200205040007, 200205040008, 200205040009, 200205040010, 200205040011, 200205060005, 200205060006, 200205070002"
74092,200205040010,2002,5,4,"May 4-5, 2007",0,,217,United States,1,North America,Nebraska,Seward,40.911111,-97.096944,1.0,0,,"05/04/2002: Between the dates of May 3-7, 2002, eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A., collectively causing seven injuries and leading to widespread panic in the region. Most of the explosives came with typewritten notes that bemoaned the power of the government and threatened more attacks. In the incidents that occurred on May 4-5, 2002, seven bombs were found in mailboxes in the southern and central counties of Nebraska. None of these bombs detonated and no injuries were suffered. On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1,2.0,Other Crime Type,1,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217.0,United States,2.0,Government (General),,,U.S. Postal Service,US Mail Boxes,217.0,United States,,,,,,,,,Anti-Government extremists,,,,,,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,0.0,,,1,1.0,1.0,1.0,8.0,Personal claim,,,,,,,-9.0,6,Explosives,10.0,Pressure Trigger,,,,,,,,,,,,,"The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. Unlike the first set, this bomb was not rigged to the mailbox and did not detonate.",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"“Crime: Pipe Bombs Strike Mailboxes in Midwest,” Facts on File World News Digest, May 15, 2002.","“Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.” New York Times¸ May 8, 2002.","“More pipe bombs found in mailboxes throughout Midwest,” ABC News, May 6, 2002.",CETIS,-9,-9,0,-9,"200205030007, 200205030008, 200205030009, 200205030010, 200205030011, 200205030012, 200205030013, 200205030014, 200205040005, 200205040006, 200205040007, 200205040008, 200205040009, 200205040010, 200205040011, 200205060005, 200205060006, 200205070002"
74093,200205040011,2002,5,4,"May 4-5, 2007",0,,217,United States,1,North America,Nebraska,Albion,41.689444,-98.003056,1.0,0,,"05/04/2002: Between the dates of May 3-7, 2002, eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A., collectively causing seven injuries and leading to widespread panic in the region. Most of the explosives came with typewritten notes that bemoaned the power of the government and threatened more attacks. In the incidents that occurred on May 4-5, 2002, seven bombs were found in mailboxes in the southern and central counties of Nebraska. None of these bombs detonated and no injuries were suffered. On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1,2.0,Other Crime Type,1,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217.0,United States,2.0,Government (General),,,U.S. Postal Service,US Mail Boxes,217.0,United States,,,,,,,,,Anti-Government extremists,,,,,,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,0.0,,,1,1.0,1.0,1.0,8.0,Personal claim,,,,,,,-9.0,6,Explosives,10.0,Pressure Trigger,,,,,,,,,,,,,"The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. Unlike the first set, this bomb was not rigged to the mailbox and did not detonate.",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"“Crime: Pipe Bombs Strike Mailboxes in Midwest,” Facts on File World News Digest, May 15, 2002.","“Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.” New York Times¸ May 8, 2002.","“More pipe bombs found in mailboxes throughout Midwest,” ABC News, May 6, 2002.",CETIS,-9,-9,0,-9,"200205030007, 200205030008, 200205030009, 200205030010, 200205030011, 200205030012, 200205030013, 200205030014, 200205040005, 200205040006, 200205040007, 200205040008, 200205040009, 200205040010, 200205040011, 200205060005, 200205060006, 200205070002"
74105,200205060005,2002,5,6,,0,,217,United States,1,North America,Colorado,Salida,38.534719,-105.998902,1.0,0,,"05/06/2002: Between the dates of May 3-7, 2002, eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A., collectively causing seven injuries and leading to widespread panic in the region. Most of the explosives came with typewritten notes that bemoaned the power of the government and threatened more attacks. In this incident, one bomb was found in an isolated area of Colorado. The bomb did not detonate and no injuries were suffered. On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1,2.0,Other Crime Type,1,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217.0,United States,2.0,Government (General),,,U.S. Postal Service,US Mail Boxes,217.0,United States,,,,,,,,,Anti-Government extremists,,,,,,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,0.0,,,1,1.0,1.0,1.0,8.0,Personal claim,,,,,,,-9.0,6,Explosives,10.0,Pressure Trigger,,,,,,,,,,,,,"The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. Unlike the first set, this bomb was not rigged to the mailbox and did not detonate.",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"“Crime: Pipe Bombs Strike Mailboxes in Midwest,” Facts on File World News Digest, May 15, 2002.","“Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.” New York Times¸ May 8, 2002.","“More pipe bombs found in mailboxes throughout Midwest,” ABC News, May 6, 2002.",CETIS,-9,-9,0,-9,"200205030007, 200205030008, 200205030009, 200205030010, 200205030011, 200205030012, 200205030013, 200205030014, 200205040005, 200205040006, 200205040007, 200205040008, 200205040009, 200205040010, 200205040011, 200205060005, 200205060006, 200205070002"
74106,200205060006,2002,5,6,,0,,217,United States,1,North America,Colorado,Pueblo,38.26386,-104.612374,1.0,0,,"05/06/2002: Between the dates of May 3-7, 2002, eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A., collectively causing seven injuries and leading to widespread panic in the region. Most of the explosives came with typewritten notes that bemoaned the power of the government and threatened more attacks. In this incident, one bomb was found in an isolated area of Colorado. The bomb did not detonate and no injuries were suffered. On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1,2.0,Other Crime Type,1,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217.0,United States,2.0,Government (General),,,U.S. Postal Service,US Mail Boxes,217.0,United States,,,,,,,,,Anti-Government extremists,,,,,,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,0.0,,,1,1.0,1.0,1.0,8.0,Personal claim,,,,,,,-9.0,6,Explosives,10.0,Pressure Trigger,,,,,,,,,,,,,"The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. Unlike the first set, this bomb was not rigged to the mailbox and did not detonate.",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"“Crime: Pipe Bombs Strike Mailboxes in Midwest,” Facts on File World News Digest, May 15, 2002.","“Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.” New York Times¸ May 8, 2002.","“More pipe bombs found in mailboxes throughout Midwest,” ABC News, May 6, 2002.",CETIS,-9,-9,0,-9,"200205030007, 200205030008, 200205030009, 200205030010, 200205030011, 200205030012, 200205030013, 200205030014, 200205040005, 200205040006, 200205040007, 200205040008, 200205040009, 200205040010, 200205040011, 200205060005, 200205060006, 200205070002"
74109,200205070002,2002,5,7,,0,,217,United States,1,North America,Texas,Amarillo,35.207255,-101.833894,1.0,0,,"05/07/2002: Between the dates of May 3-7, 2002, eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A., collectively causing seven injuries and leading to widespread panic in the region. Most of the explosives came with typewritten notes that bemoaned the power of the government and threatened more attacks. In this incident, one bomb was found in Amarillo, Texas. The bomb did not detonate and no injuries were suffered. On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1,2.0,Other Crime Type,1,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the United States Midwest,217.0,United States,2.0,Government (General),,,U.S. Postal Service,US Mail Boxes,217.0,United States,,,,,,,,,Anti-Government extremists,,,,,,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,0.0,,,1,1.0,1.0,1.0,8.0,Personal claim,,,,,,,-9.0,6,Explosives,10.0,Pressure Trigger,,,,,,,,,,,,,"The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. Unlike the first set, this bomb was not rigged to the mailbox and did not detonate.",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"“Crime: Pipe Bombs Strike Mailboxes in Midwest,” Facts on File World News Digest, May 15, 2002.","“Student, 21, Is Arrested in Nevada in 5-State Bombing Spree.” New York Times¸ May 8, 2002.","“More pipe bombs found in mailboxes throughout Midwest,” ABC News, May 6, 2002.",CETIS,-9,-9,0,-9,"200205030007, 200205030008, 200205030009, 200205030010, 200205030011, 200205030012, 200205030013, 200205030014, 200205040005, 200205040006, 200205040007, 200205040008, 200205040009, 200205040010, 200205040011, 200205060005, 200205060006, 200205070002"
74155,200205130001,2002,5,13,,0,,217,United States,1,North America,Pennsylvania,Philadelphia,40.008171,-75.13549,1.0,0,,"05/13/2002: A small pipe bomb put in a foam box was found in a Philadelphia, Pennsylvania, United States mailbox. Police safely detonated the device, which was packed with nails, and no one was hurt. The bomb had a note that stated “Free Palestine” and also reportedly made some reference to Al-Qaida. A 53 year old Philadelphia man, Preston Lit, who had no connections with Al-Qaida or any other terrorist group, was charged with threatening to use explosives. He had a criminal past and reportedly suffered from bi-polar disorder and other mental sicknesses.",1,1,1,1,2.0,Other Crime Type,0,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Residents of Princeton and Summerdale Avenues in Philadelphia,217.0,United States,2.0,Government (General),,,U.S. Postal Service,US Mail Boxes,217.0,United States,,,,,,,,,Jihadi-inspired extremists,,,,,,The perpetrator wanted to show support for Palestinians and for Al-Qaida.,0.0,,,1,1.0,1.0,0.0,,,,,,,,,,6,Explosives,9.0,Letter Bomb,,,,,,,,,,,,,"A small homemade pipe bomb placed inside of a foam package filled with nails and an explosive charge, and with the words ""Free Palestine"" on it, was used in the attack",0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,"The perpetrator, Preston Lit, also may have been connected to a note written in Arabic that was close to the mailbox containing the bomb and to some sneakers that also had Arabic writing on them. Lit had previously been arrested for stalking TV personality, Steve Levy, and had written letters to President Bush and Pennsylvania Governor Schweiker that had as their return address ""Royal al-Queda Headquarters.""","Erin Einhorn, Gloria Campisi, Kitty Caparella, “Man is accused of terrorizing NE Nabe; Discarded trash leads cops to bomb suspect,” Daily News, May 16, 2002.","“Man is charged in mailbox bomb case,” Union Tribune, May 16, 2002.","David B. Curoso, “Authorities: Bomb likely not linked to Middle Eastern terrorism,” The Associated Press State & Local Wire, May 14, 2002.",CETIS,-9,-9,0,-9,
74670,200210030002,2002,10,3,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1.0,0,Manhattan,"10/3/2002: Steve Kim fired seven shots at the United Nations Headquarters in Manhattan, New York, United States.  Four bullets hit the building between the eighteenth and twentieth floors.  There were no casualties but windows were shattered.  Immediately, after the shooting, Kim released a flier portraying the horrors of life in North Korea and called for the United Nations to end the Kim Jong-Il regime.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,7,Government (Diplomatic),47.0,"International Organization (peacekeeper, aid agency, compound)",United Nations,United Nations Secretariat Building,217.0,United States,,,,,,,,,,,,,,,,,Anti-Kim Jong-il extremists,,,,,,To highlight the oppression of daily life in North Korea and to call on the United Nations to end the Kim Jung-Il regime,0.0,,,1,1.0,1.0,0.0,,,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,Silver colored .357 caliber revolver,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,Windows shattered,0.0,,,,,,,0.0,,,,,,,,,The shooting took place at 1:10 PM.  Steve Kim was detained almost immediately after firing his weapon.,"Larry Neumeister, ""Judge: Stern Leniency for Postal Worker in U.N. Gunfire,"" Associated Press, September 22, 2003.","""Gun Fired at U.N.; No Injuries Reported,"" USA Today, October 3, 2002.","""No One Hurt as Gunman Fires Shots in the Air Outside UN Building in New York,"" UN News Centre, October 3, 2002. <http://www.un.org/apps/news/storyAr.asp?NewsID=4924&Cr=xxx&Cr1=>",Hewitt Project,-9,-9,0,-9,
75039,200301200008,2003,1,20,,0,,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,1.0,0,"at McDonald's fast food restaurant on 5th Avenue North, across from the Space needle","01/20/2003: Earth Liberation Front (ELF) member, Christopher McIntosh, admitted to setting fire to the McDonald's fast-food restaurant across from the Space needle in Seattle, Washington in the United States.  McIntosh climbed onto the roof of the restaurant and poured several gallons of gasoline over it, before igniting the fuel; the arson caused $5,000 in damages, but there were no casualties in the incident.  After setting the fire, McIntosh called the Seattle arson tip line and left a message claiming the incident in the name of both ELF and ALF, and stated that more incidents were to come, ""as long as McDonald's keeps hurting our furry brothers.""  He was linked to the fire due to spray paint and sunglasses left at the scene.  In December 2005, McIntosh was sentenced to 8 years in prison after pleading guilty to charges in September of that year.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,2.0,Restaurant/Bar/Café,McDonald's fast food restaurants,"McDonald's fast food restaurant across the street from the Space needle in Seattle, WA",217.0,United States,,,,,,,,,,,,,,,,,Earth Liberation Front (ELF),,,,,,"McIntosh was against the destruction of the earth and the harm of animals,  which he believed McDonald's was promoting through their work.",0.0,,,0,1.0,1.0,1.0,2.0,Call (post-incident),,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,several gallons of gasoline ignited,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),5000.0,,0.0,,,,,,,0.0,,,,,,,,,,"Paul Shukovsky, ""Arsonist gets 8 years for McDonald's fire; Activist tells judge of desire to help earth,"" Seattle Post-Intelligencer, December 17, 2005.","""Guilty plea in Seattle McDonald's fire,"" United Press International, September 27, 2005.","Peter Lewis, ""8-year sentence for 2003 arson at eatery,"" Seattle Times, December 17, 2005.",Eco Project 2010,0,1,0,1,
75314,200303170005,2003,3,17,,1,2003-03-19,217,United States,1,North America,District of Columbia,Washington,38.908642,-77.015381,1.0,0,National Mall,"3/17/2003: Dwight Watson, a tobacco farmer from North Carolina, drove a tractor through the Constitution Gardens in Washington D.C., United States and partially submerged his vehicle into a pond.  He claimed that he had an Organophosphate bomb.  DC traffic was paralyzed as streets in an eight block radius were shut down and the Federal Reserve building, Interior Department building, National Academy of Sciences, and Vietnam War Memorial were closed as well.  Watson surrendered to authorities forty-seven hours after the incident began.  It turned out that the bomb was a hoax, however the tractor caused around $1,000 in damage to the gardens.  Watson believed that the tobacco policies of the United States government were unfair to the tobacco farmer and he was trying to bring nationwide attention to the policies that he maintained ruined him financially.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,7.0,Facility/Infrastructure Attack,,,2,Government (General),21.0,Government Building/Facility/Office,National Mall,Constitution Gardens,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,To bring nationwide attention to how the tobacco policies of the United States government were unfair to the tobacco farmer,0.0,,,1,1.0,1.0,0.0,,,,,,,,,,7,Fake Weapons,,,,,,,,,,,,,,,Fake organophosphate bomb in a box that was actually just two aerosol cans and Raid insecticide,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,Major (likely >= $1 million but < $1 billion),,Tractor damaged the Constitution Gardens. DC streets and federal buildings shut down.,0.0,,,,,,,0.0,,,,,,,,,"The incident began around 12:00 PM on March 17, 2003.  The monetary effect of closing down DC streets and federal buildings  for two days is unknown.  During the standoff with the police on the National Mall, Dwight Watson also told authorities that he placed similar explosives near a billboard for a tobacco company on Interstate 95 in Richmond, Virginia and behind the Marine Corps Museum in Washington, DC. No explosives were found at either site.","Derrill Holly, ""Man Claiming To Have Explosives Holds Police At Bay Near Washington Monument,"" Associated Press, March 18, 2003.","Gill Klein and David Rice, ""N.C. Farmer Declares War - On U.S. Tobacco Policy.  He Drives His Tractor Into Pond, Ties Up Washington,"" Winston-Salem Journal, March 19, 2003.","""Farmer Convicted in Tractor Protest,"" St. Petersburg Times,"" September 27, 2003.",Hewitt Project,-9,-9,0,-9,
75408,200303310004,2003,3,31,,0,,217,United States,1,North America,California,Edgemont,33.890884,-117.261733,1.0,1,"The incident occurred between Riverside and Moreno Valley, about 70 miles east of Los Angeles, California","03/31/2003: Eid Elwirelwir, a U.S. citizen born in Venezuela, crashed his vehicle into the razor-wire barricade gate of the March Air Force Reserve Base in Riverside County, California, United States, causing $1,000 in damage to the government property.  No casualties resulted from this incident.  Elwirelwir claimed he was oppressed by America for being Muslim, and additionally that he supported ""Saddam Hussein's right to use weapons of mass destruction if invaded.""  He was arrested and charged with damaging government property.",1,1,1,1,2.0,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,United States Air Force,"March Air Force Reserve Base in Riverside County, California",217.0,United States,,,,,,,,,,,,,,,,,Muslim extremists,,,,,,Allegedly due to being oppressed as a Muslim in America,0.0,,,1,1.0,1.0,0.0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Rammed vehicle into security gate of air force base,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),1000.0,damaged security razor-wire gate,,,,,,,,,,,,,,,,,"The incident occurred at about 12:30am.  This case is marked doubt terrorism proper due to the fact that the perpetrator had allegedly been smoking marijuana several hours before he rammed his vehicle into the gate, and a small amount of marijuana was found in his vehicle; thus, it is difficult to assess the validity of his claims and motivations behind the incident at the time it occurred.","Louis Sahagun, ""Incident at Base Brings an Arrest,"" Los Angeles Times, April 3, 2003.","""Man arrested for crashing into gate at Riverside County base,"" The Associated Press & Local Wire, April 3, 2003.",,Hewitt Project,-9,-9,0,-9,
75861,200308280001,2003,8,28,,0,,217,United States,1,North America,California,Emeryville,37.831455,-122.285164,1.0,0,,"08/28/2003: An explosive device detonated at the Chrion Corporation headquarters in Emeryville, California, United States. The blast blew the windows out of the building but caused no casualties. This was one of two attacks at the headquarters on the same day; this initial explosion was designed to cause damage. The Animal Liberation Front (ALF) claimed responsibility for the incidents.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,1,Business,4.0,Multinational Corporation,Chiron Corporation,Headquarters,217.0,United States,,,,,,,,,,,,,,,,,Animal Liberation Front (ALF),,,,,,Unknown,0.0,,,0,1.0,1.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,-9.0,6,Explosives,31.0,Pipe Bomb,,,,,,,,,,,,,A pipe bomb consisting of ammonium nitrate slurry and a timer.,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,,0.0,,,,,,,,,,,,,,,,The same suspects may have been responsible for later blasts at Shakee Corp. Chiron contracts with Huntington Life Sciences.  Huntington has inspired mass protests for their treatment of animals.,"Paul Elias, ""Two small blasts shatter windows at Emeryville biotech offices,"" The Associated Press, August 23, 2003.","""Chiron sues animal activists, alleging violent harassment,""  The Associated Press, January 27, 2004.","Paul Elias, ""Violent protests erupting over biotechnology,"" October 15, 2003.",CETIS,0,1,0,1,"200308280001, 200308280002"
